Date;Open;High;Low;Close;Adj Close;Volume
2018-09-10;2.841210;3.079190;2.559510;2.817990;2.817990;6771
2018-09-11;2.822660;2.971910;2.662240;2.951230;2.951230;8011
2018-09-12;2.951580;3.003940;2.548400;2.585020;2.585020;6592
2018-09-13;2.587280;2.937250;1.990850;2.750360;2.750360;6594
2018-09-14;2.748670;2.957970;2.195160;2.643720;2.643720;6690
2018-09-15;2.640190;2.939550;2.346370;2.659870;2.659870;11708
2018-09-16;2.667340;2.765680;2.291610;2.489830;2.489830;6209
2018-09-17;2.495890;2.771520;2.346200;2.695780;2.695780;9469
2018-09-18;2.696050;2.815640;2.395080;2.775850;2.775850;7371
2018-09-19;2.777410;2.786710;2.466570;2.656070;2.656070;10421
2018-09-20;2.657240;2.942100;2.596010;2.815530;2.815530;9226
2018-09-21;2.816330;3.256550;2.610950;3.130740;3.130740;11780
2018-09-22;3.133160;3.280530;2.985440;3.129400;3.129400;6398
2018-09-23;3.130970;3.592840;2.942020;3.583490;3.583490;12454
2018-09-24;3.584980;3.661750;2.941260;3.033840;3.033840;5766
2018-09-25;3.112670;3.307840;2.714150;2.961780;2.961780;7929
2018-09-26;2.957540;3.255590;2.791410;3.201290;3.201290;6858
2018-09-27;3.205200;3.454990;2.193120;3.044300;3.044300;14587
2018-09-28;3.025800;6.241760;2.983470;4.083550;4.083550;12713
2018-09-29;4.080690;4.835810;3.152860;3.610040;3.610040;10288
2018-09-30;3.608660;3.608660;2.627680;2.820760;2.820760;12221
2018-10-01;2.812340;3.135520;2.593350;3.057170;3.057170;5915
2018-10-02;3.048520;3.301530;2.597310;2.962190;2.962190;8588
2018-10-03;2.963670;3.164760;2.721970;2.890050;2.890050;6174
2018-10-04;2.893450;3.228850;2.768300;2.888710;2.888710;6722
2018-10-05;2.809790;3.152030;2.548810;2.890030;2.890030;9784
2018-10-06;2.894180;2.894180;2.609030;2.811420;2.811420;5030
2018-10-07;2.637820;2.875890;2.296280;2.363770;2.363770;5485
2018-10-08;2.374460;2.974530;2.347000;2.593930;2.593930;7809
2018-10-09;2.602760;2.883830;2.350180;2.604540;2.604540;4606
2018-10-10;2.594500;2.942210;2.373500;2.940410;2.940410;9830
2018-10-11;2.930490;2.933340;2.727590;2.747140;2.747140;6169
2018-10-12;2.743690;2.884490;2.738700;2.855000;2.855000;8085
2018-10-13;2.854860;2.875440;2.784940;2.793020;2.793020;7858
2018-10-14;2.793720;2.837550;2.212070;2.578470;2.578470;6990
2018-10-15;2.581330;2.716670;2.223260;2.547850;2.547850;7822
2018-10-16;2.545590;2.778260;2.265440;2.288190;2.288190;10451
2018-10-17;2.296070;2.463380;2.246130;2.347520;2.347520;7739
2018-10-18;2.356060;2.506220;2.101130;2.348600;2.348600;6364
2018-10-19;2.348250;2.414160;2.194670;2.195680;2.195680;5645
2018-10-20;2.195840;2.383780;2.164060;2.352460;2.352460;6006
2018-10-21;2.353000;2.418020;2.075050;2.395240;2.395240;7253
2018-10-22;2.394030;2.424690;2.127260;2.150470;2.150470;4711
2018-10-23;2.150280;2.307480;2.133290;2.189990;2.189990;5734
2018-10-24;2.180220;2.407890;2.147540;2.332650;2.332650;8671
2018-10-25;2.333700;2.409690;2.115870;2.392800;2.392800;5646
2018-10-26;2.388910;2.399980;2.269130;2.290650;2.290650;4954
2018-10-27;2.281830;2.411880;2.014050;2.220420;2.220420;8126
2018-10-28;2.232370;2.346840;2.033210;2.134140;2.134140;5479
2018-10-29;2.123410;2.229170;2.030210;2.093840;2.093840;5362
2018-10-30;2.133330;2.174570;2.032180;2.109670;2.109670;6636
2018-10-31;2.116280;2.205650;2.010500;2.048220;2.048220;9704
2018-11-01;2.048220;2.237710;1.969380;2.172030;2.172030;8513
2018-11-02;2.172030;2.227490;2.029750;2.152310;2.152310;7669
2018-11-03;2.152310;2.251530;2.093000;2.251530;2.251530;5452
2018-11-04;2.246090;2.357140;1.372480;1.870590;1.870590;8453
2018-11-05;1.870590;2.822400;1.476990;2.331040;2.331040;7952
2018-11-06;2.340460;3.312670;2.043870;2.749210;2.749210;11687
2018-11-07;2.749100;4.084040;2.460970;2.963240;2.963240;15938
2018-11-08;2.961250;3.688220;2.697130;3.410140;3.410140;14541
2018-11-09;3.410310;3.504890;2.711760;3.474810;3.474810;16640
2018-11-10;3.474310;3.505640;2.811140;3.161680;3.161680;19628
2018-11-11;3.159280;3.531570;2.769590;2.845710;2.845710;17267
2018-11-12;2.862820;4.380640;2.862820;3.219490;3.219490;18271
2018-11-13;3.205650;4.337690;3.203430;3.546110;3.546110;28033
2018-11-14;3.535650;3.716920;2.770950;3.134500;3.134500;16980
2018-11-15;3.150520;3.759340;2.839640;3.250800;3.250800;25147
2018-11-16;3.249980;3.351460;2.811580;2.827950;2.827950;13834
2018-11-17;2.833710;2.928170;2.796800;2.878040;2.878040;15983
2018-11-18;2.907730;3.228230;2.783850;2.818770;2.818770;16456
2018-11-19;2.819910;3.212840;2.440620;2.498820;2.498820;7530
2018-11-20;2.487280;2.688890;2.076580;2.341140;2.341140;15136
2018-11-21;2.342350;2.572950;2.002660;2.406970;2.406970;10421
2018-11-22;2.398200;2.425610;2.093120;2.211570;2.211570;8569
2018-11-23;2.200370;2.783180;1.454710;2.382950;2.382950;19500
2018-11-24;2.381220;2.562730;1.878600;1.945780;1.945780;9954
2018-11-25;1.888660;2.227350;1.615290;2.081210;2.081210;14064
2018-11-26;2.073770;2.198020;1.657110;1.800020;1.800020;10456
2018-11-27;1.800440;1.863560;1.585800;1.659030;1.659030;9947
2018-11-28;1.625930;1.805680;1.418160;1.477270;1.477270;12424
2018-11-29;1.483675;1.721733;1.405507;1.592555;1.592555;15514
2018-11-30;1.596286;1.604502;1.384105;1.386322;1.386322;7132
2018-12-01;1.390259;1.718179;1.371795;1.598818;1.598818;8823
2018-12-02;1.597419;1.649890;1.368668;1.415123;1.415123;7903
2018-12-03;1.423130;1.457810;1.173288;1.247344;1.247344;16006
2018-12-04;1.246412;1.323697;1.004248;1.074037;1.074037;11191
2018-12-05;1.073726;1.177423;0.924962;1.033611;1.033611;12023
2018-12-06;1.033149;1.288316;0.947287;1.002157;1.002157;15814
2018-12-07;0.869415;1.170344;0.694648;0.851673;0.851673;25563
